tabla_ine,variable,anyo,I,cnae_55,cnae_56,share_55,share_56
76811,Cifra de negocios,2018,77722422.0,26453806.0,51268615.0,0.340363,0.659637
76811,Cifra de negocios,2019,82767988.0,28558378.0,54209610.0,0.345041,0.654959
76811,Cifra de negocios,2020,42014129.0,9206815.0,32807314.0,0.219136,0.780864
76811,Cifra de negocios,2021,60634449.0,16464728.0,44169721.0,0.271541,0.728459
76811,Cifra de negocios,2022,92418178.0,31177126.0,61241052.0,0.337348,0.662652
76811,Cifra de negocios,2023,104442692.0,36478516.0,67964177.0,0.349268,0.650732
76811,Cifra de negocios,2024,117440434.0,41467328.0,75973106.0,0.353092,0.646908
76811,Excedente bruto de explotación,2018,9694200.0,5536194.0,4158006.0,0.571083,0.428917
76811,Excedente bruto de explotación,2019,10166874.0,5788562.0,4378312.0,0.569355,0.430645
76811,Excedente bruto de explotación,2020,-1606626.0,-1838308.0,231683.0,1.144204,-0.144205
76811,Excedente bruto de explotación,2021,7746200.0,3103616.0,4642583.0,0.400663,0.599337
76811,Excedente bruto de explotación,2022,12022411.0,6634659.0,5387752.0,0.551858,0.448142
76811,Excedente bruto de explotación,2023,14534511.0,8426494.0,6108017.0,0.579758,0.420242
76811,Excedente bruto de explotación,2024,18029459.0,10231208.0,7798252.0,0.567472,0.432528
76811,Gastos de personal,2018,24898424.0,8444622.0,16453802.0,0.339163,0.660837
76811,Gastos de personal,2019,26890378.0,9140828.0,17749550.0,0.339929,0.660071
76811,Gastos de personal,2020,16573358.0,4775810.0,11797548.0,0.288162,0.711838
76811,Gastos de personal,2021,19965909.0,5756398.0,14209510.0,0.288311,0.711689
76811,Gastos de personal,2022,28829897.0,9444965.0,19384933.0,0.32761,0.67239
76811,Gastos de personal,2023,32449715.0,10912185.0,21537530.0,0.33628,0.66372
76811,Gastos de personal,2024,36487431.0,12128446.0,24358985.0,0.332401,0.667599
76811,Horas trabajadas por el personal remunerado,2018,1858004.0,538720.0,1319284.0,0.289946,0.710054
76811,Horas trabajadas por el personal remunerado,2019,1949761.0,561236.0,1388525.0,0.287849,0.712151
76811,Horas trabajadas por el personal remunerado,2020,1124950.0,256183.0,868768.0,0.227728,0.772273
76811,Horas trabajadas por el personal remunerado,2021,1395655.0,321283.0,1074372.0,0.230202,0.769798
76811,Horas trabajadas por el personal remunerado,2022,2012881.0,556585.0,1456295.0,0.276512,0.723488
76811,Horas trabajadas por el personal remunerado,2023,2114122.0,614219.0,1499903.0,0.290531,0.709469
76811,Horas trabajadas por el personal remunerado,2024,2251116.0,652533.0,1598584.0,0.289871,0.71013
76811,Inversión en activos materiales,2018,4211956.0,2717842.0,1494114.0,0.645268,0.354732
76811,Inversión en activos materiales,2019,4012640.0,2519308.0,1493331.0,0.627843,0.372157
76811,Inversión en activos materiales,2020,3072812.0,1859450.0,1213363.0,0.60513,0.394871
76811,Inversión en activos materiales,2021,3772899.0,2626520.0,1146380.0,0.696154,0.303846
76811,Inversión en activos materiales,2022,4786326.0,3268500.0,1517826.0,0.682883,0.317117
76811,Inversión en activos materiales,2023,5012896.0,3514158.0,1498738.0,0.701024,0.298976
76811,Inversión en activos materiales,2024,5393336.0,3719898.0,1673437.0,0.689721,0.310279
76811,Número de empresas,2018,287273.0,26967.0,260306.0,0.093872,0.906128
76811,Número de empresas,2019,290413.0,28971.0,261442.0,0.099758,0.900242
76811,Número de empresas,2020,281635.0,28285.0,253350.0,0.100431,0.899569
76811,Número de empresas,2021,290701.0,30120.0,260581.0,0.103612,0.896388
76811,Número de empresas,2022,296349.0,31224.0,265125.0,0.105362,0.894638
76811,Número de empresas,2023,295190.0,32203.0,262987.0,0.109092,0.890908
76811,Número de empresas,2024,297323.0,33348.0,263975.0,0.112161,0.887839
76811,Personal ocupado,2018,1530432.0,322472.0,1207960.0,0.210707,0.789293
76811,Personal ocupado,2019,1601724.0,338753.0,1262971.0,0.211493,0.788507
76811,Personal ocupado,2020,1387964.0,273519.0,1114445.0,0.197065,0.802935
76811,Personal ocupado,2021,1419533.0,274520.0,1145013.0,0.193388,0.806612
76811,Personal ocupado,2022,1614919.0,342956.0,1271964.0,0.212367,0.787633
76811,Personal ocupado,2023,1662157.0,371934.0,1290223.0,0.223766,0.776234
76811,Personal ocupado,2024,1748137.0,393424.0,1354713.0,0.225053,0.774947
76811,Personal remunerado,2018,1281547.0,303201.0,978345.0,0.23659,0.763409
76811,Personal remunerado,2019,1340695.0,317723.0,1022972.0,0.236984,0.763016
76811,Personal remunerado,2020,1147300.0,254108.0,893193.0,0.221483,0.778517
76811,Personal remunerado,2021,1173578.0,255285.0,918293.0,0.217527,0.782473
76811,Personal remunerado,2022,1375982.0,323250.0,1052732.0,0.234923,0.765077
76811,Personal remunerado,2023,1425884.0,351042.0,1074842.0,0.246193,0.753807
76811,Personal remunerado,2024,1521769.0,376382.0,1145387.0,0.247332,0.752668
76811,Personal remunerado equivalente a tiempo completo,2018,983905.0,288474.0,695432.0,0.293193,0.706808
76811,Personal remunerado equivalente a tiempo completo,2019,1036566.0,302222.0,734345.0,0.291561,0.70844
76811,Personal remunerado equivalente a tiempo completo,2020,880430.0,240509.0,639921.0,0.273172,0.726828
76811,Personal remunerado equivalente a tiempo completo,2021,907261.0,242759.0,664502.0,0.267573,0.732427
76811,Personal remunerado equivalente a tiempo completo,2022,1090594.0,310807.0,779787.0,0.284989,0.715011
76811,Personal remunerado equivalente a tiempo completo,2023,1142965.0,339111.0,803854.0,0.296694,0.703306
76811,Personal remunerado equivalente a tiempo completo,2024,1225298.0,362717.0,862582.0,0.296023,0.703977
76811,Total de compras de bienes y servicios,2018,44233028.0,12955756.0,31277272.0,0.292898,0.707102
76811,Total de compras de bienes y servicios,2019,47465443.0,14487304.0,32978139.0,0.305218,0.694782
76811,Total de compras de bienes y servicios,2020,28639392.0,6934659.0,21704733.0,0.242137,0.757863
76811,Total de compras de bienes y servicios,2021,36854237.0,9380453.0,27473784.0,0.254528,0.745472
76811,Total de compras de bienes y servicios,2022,53232355.0,15863771.0,37368585.0,0.29801,0.70199
76811,Total de compras de bienes y servicios,2023,59220632.0,17888593.0,41332039.0,0.302067,0.697933
76811,Total de compras de bienes y servicios,2024,64799998.0,19955883.0,44844115.0,0.307961,0.692039
76811,Valor añadido a coste de los factores,2018,34592625.0,13980816.0,20611809.0,0.404156,0.595844
76811,Valor añadido a coste de los factores,2019,37057252.0,14929390.0,22127862.0,0.402874,0.597126
76811,Valor añadido a coste de los factores,2020,14966732.0,2937502.0,12029230.0,0.196269,0.803731
76811,Valor añadido a coste de los factores,2021,27712108.0,8860015.0,18852094.0,0.319716,0.680284
76811,Valor añadido a coste de los factores,2022,40852308.0,16079624.0,24772684.0,0.393604,0.606396
76811,Valor añadido a coste de los factores,2023,46984226.0,19338679.0,27645547.0,0.411599,0.588401
76811,Valor añadido a coste de los factores,2024,54516891.0,22359654.0,32157237.0,0.410142,0.589858
76811,Valor de la producción,2018,76540473.0,26030180.0,50510293.0,0.340084,0.659916
76811,Valor de la producción,2019,81304390.0,28149820.0,53154570.0,0.346228,0.653772
76811,Valor de la producción,2020,40103179.0,9116851.0,30986328.0,0.227335,0.772665
76811,Valor de la producción,2021,61044069.0,16669559.0,44374510.0,0.273074,0.726926
76811,Valor de la producción,2022,92400576.0,31167086.0,61233490.0,0.337304,0.662696
76811,Valor de la producción,2023,104455756.0,36510346.0,67945410.0,0.349529,0.650471
76811,Valor de la producción,2024,117878867.0,41519568.0,76359299.0,0.352222,0.647778
76815,Cifra de negocios,2018,77722422.0,26453806.0,51268615.0,0.340363,0.659637
76815,Cifra de negocios,2019,82767988.0,28558378.0,54209610.0,0.345041,0.654959
76815,Cifra de negocios,2020,42014129.0,9206815.0,32807314.0,0.219136,0.780864
76815,Cifra de negocios,2021,60634449.0,16464728.0,44169721.0,0.271541,0.728459
76815,Cifra de negocios,2022,92418178.0,31177126.0,61241052.0,0.337348,0.662652
76815,Cifra de negocios,2023,104442692.0,36478516.0,67964177.0,0.349268,0.650732
76815,Cifra de negocios,2024,117440434.0,41467328.0,75973106.0,0.353092,0.646908
76815,Consumo de bienes y servicios para reventa,2018,2747721.0,1270040.0,1477681.0,0.462216,0.537784
