SIC,YEAR,ENTERPRISES,TURNOVER_GBPM,AGVA_BASIC_PRICES_GBPM,PURCHASES_GBPM,EMPLOYMENT_COSTS_GBPM
56,2019,140263,77831,38254,39434,22828
56,2020,144721,53656,26752,26956,19355
56,2021,153947,69836,35741,35363,23057
56,2022,154419,87131,43272,44613,28103
56,2023,152594,94081,45399,48877,31488
56,2024,155404,97052,46138,50564,33561
56.1,2019,89133,42115,20873,21439,12265
56.1,2020,92528,32861,16986,16174,10787
56.1,2021,101162,45611,23562,22744,13911
56.1,2022,101152,50087,24949,25813,15924
56.1,2023,102660,53853,25656,28496,17694
56.1,2024,105334,55617,26485,29005,18756
56.2,2019,13586,12296,6758,5574,4468
56.2,2020,15515,7264,3828,3420,3436
56.2,2021,16207,8689,4962,3844,3885
56.2,2022,16725,12906,6310,6694,4646
56.2,2023,13717,14084,7460,6658,5288
56.2,2024,13983,14593,7263,7330,6091
56.21,2019,10724,6137,3400,2746,1943
56.21,2020,12454,3256,1588,1661,1525
56.21,2021,13049,4520,2623,1972,1850
56.21,2022,13256,6816,3086,3757,2097
56.21,2023,10173,6182,3120,3069,2234
56.21,2024,10065,6736,3097,3621,2799
56.29,2019,2862,6159,3358,2828,2525
56.29,2020,3061,4008,2240,1759,1911
56.29,2021,3158,4169,2339,1872,2035
56.29,2022,3469,6089,3223,2937,2549
56.29,2023,3544,7902,4340,3589,3053
56.29,2024,3918,7857,4166,3709,3292
56.3,2019,37544,23420,10623,12422,6095
56.3,2020,36678,13531,5938,7362,5132
56.3,2021,36578,15536,7217,8776,5261
56.3,2022,36542,24138,12013,12106,7533
56.3,2023,36217,26144,12283,13723,8506
56.3,2024,36087,26842,12390,14229,8714
