"DATE_NAME","INDUSTRY_CODE","EMPLOYMENT_STATUS_NAME","OBS_VALUE","OBS_STATUS_NAME"
"2022","56101","Employment",533000,"Normal Value"
"2022","56101","Employees",524000,"Normal Value"
"2022","56102","Employment",408000,"Normal Value"
"2022","56102","Employees",398000,"Normal Value"
"2022","56103","Employment",250000,"Normal Value"
"2022","56103","Employees",239000,"Normal Value"
"2022","56210","Employment",130000,"Normal Value"
"2022","56210","Employees",128000,"Normal Value"
"2022","56290","Employment",114000,"Normal Value"
"2022","56290","Employees",113000,"Normal Value"
"2022","56301","Employment",88000,"Normal Value"
"2022","56301","Employees",82000,"Normal Value"
"2022","56302","Employment",540000,"Normal Value"
"2022","56302","Employees",529000,"Normal Value"
"2023","56101","Employment",538000,"Normal Value"
"2023","56101","Employees",529000,"Normal Value"
"2023","56102","Employment",431000,"Normal Value"
"2023","56102","Employees",420000,"Normal Value"
"2023","56103","Employment",257000,"Normal Value"
"2023","56103","Employees",244000,"Normal Value"
"2023","56210","Employment",138000,"Normal Value"
"2023","56210","Employees",135000,"Normal Value"
"2023","56290","Employment",148000,"Normal Value"
"2023","56290","Employees",148000,"Normal Value"
"2023","56301","Employment",68000,"Normal Value"
"2023","56301","Employees",64000,"Normal Value"
"2023","56302","Employment",474000,"Normal Value"
"2023","56302","Employees",467000,"Normal Value"
"2024","56101","Employment",519000,"Normal Value"
"2024","56101","Employees",511000,"Normal Value"
"2024","56102","Employment",415000,"Normal Value"
"2024","56102","Employees",405000,"Normal Value"
"2024","56103","Employment",238000,"Normal Value"
"2024","56103","Employees",228000,"Normal Value"
"2024","56210","Employment",138000,"Normal Value"
"2024","56210","Employees",135000,"Normal Value"
"2024","56290","Employment",157000,"Normal Value"
"2024","56290","Employees",157000,"Normal Value"
"2024","56301","Employment",66000,"Normal Value"
"2024","56301","Employees",62000,"Normal Value"
"2024","56302","Employment",477000,"Normal Value"
"2024","56302","Employees",470000,"Normal Value"
