# UK-IOT-IXI-2023::S2_employment - scenario S2_employment. NOT ALL OF THESE NUMBERS ARE OBSERVED.
# 627 of 11,236 cells (5.6 %) are ESTIMATED from an allocation proxy and 0 (0.0 %) were moved by the balancing solver.
# Cell-by-cell status is in provenance.csv in this folder; the caveats are in ../../report.md. Quoting a figure from this file without them states an estimate as a measurement.
code,label,A01,A02,A03,B05,B06 & B07,B08,B09,C101,C102_3,C104,C105,C106,C107,C108,C109,C1101T1106 & C12,C1107,C13,C14,C15,C16,C17,C18,C19,C203,C204,C205,C20A,C20B,C20C,C21,C22,C235_6,C23OTHER,C241T243,C244_5,C25,C26,C27,C28,C29,C301,C303,C30OTHER,C31,C32,C3315,C3316,C33OTHER,D351,D352_3,E36,E37,E38,E39,"F41, F42  & F43",G45,G46,G47,H491_2,H493T495,H50,H51,H52,H53,I55,I561,I562,I563,J58,J59 & J60,J61,J62,J63,K64,K65.1-2 & K65.3,K66,L683,L68A,L68BXL683,M691,M692,M70,M71,M72,M73,M74,M75,N77,N78,N79,N80,N81,N82,O84,P85,Q86,Q87 & Q88,R90,R91,R92,R93,S94,S95,S96,T97,P3 S13,P3 S14,P3 S15,P51G,P52,P53,P61EU,P61RW,P62,Output
A01,"Crop And Animal Production, Hunting And Related Service Activities  ",7609.029703,20.266388,0.081768,0.049912,6.472633,2.648895,2.380832,6276.689612,718.136301,0.328974,5418.308374,117.878613,2.332602,3.944396,1168.588726,821.085408,1.428681,1.141378,0.223176,7.186353,1.965831,16.677209,1.147281,2.549553,0.902405,0.776926,0.634928,0.833516,71.109078,0.276936,158.256764,4.020011,4.566832,0.907745,1.446157,0.575498,6.402254,3.084340,2.513933,5.963351,3.371736,0.705363,3.822697,1.038832,5.135865,2.111427,0.087798,0.466633,2.494761,17.905211,25.725645,2.358579,0.599956,9.634439,0.858136,223.233569,9.959081,63.951453,57.574862,9.999437,32.752778,3.466454,14.403356,16.468143,4.621897,99.636978,18.121213,4.227298,8.011173,2.777502,14.818266,7.581780,28.346772,2.154657,36.031467,13.132071,8.574353,2.789196,35.772394,40.480673,9.395799,4.913811,17.922467,91.312234,14.045266,15.091933,31.034951,0.379687,11.756242,8.201979,27.880769,0.491733,3.782899,14.268050,45.219449,30.800753,74.339792,68.101743,3.417075,0.746522,24.491687,8.505855,2.636337,2.556453,3.226040,0.000000,25.874409,12999.961467,12.489808,1853.157049,-162.580944,0.000000,1445.638366,913.704183,778.218963,41679.000000
A02,Forestry And Logging  ,293.237984,414.015004,0.010146,0.000890,0.106849,0.059001,0.035738,0.117914,0.075099,0.007368,0.127063,0.037665,0.062186,0.097154,0.046856,0.154813,0.037981,0.034052,0.015417,0.004458,262.056867,119.092080,0.045485,0.025314,0.015155,0.029507,0.027609,2.021112,0.047128,0.011964,0.235273,0.103238,0.047298,0.039839,0.080141,0.020843,0.229238,0.093689,0.072420,0.181070,2.270527,0.036391,0.101401,0.010823,5.043659,0.053269,0.004497,0.022889,0.077554,709.170097,0.066247,0.033155,0.019632,0.220895,0.033770,2.557585,0.253541,1.187285,1.151409,0.633378,0.338844,0.211322,0.732695,0.510839,0.153654,0.521049,0.394064,0.091927,0.174211,0.094759,0.440808,0.303380,1.322879,0.067741,0.709020,0.215446,0.390171,0.101624,0.349365,8.667794,0.292823,0.140991,0.559344,0.388488,0.208512,0.209666,0.190161,0.025183,0.551204,0.219843,0.887251,0.018461,0.173842,0.295218,1.140862,1.173172,1.153488,0.621199,0.064331,0.051129,0.089852,1.016274,0.067536,2.019832,0.106249,0.000000,4.970436,186.893101,1.441931,3.339410,157.995028,0.000000,28.024969,7.217051,18.954655,2252.000000
A03,Fishing And Aquaculture  ,0.116717,0.006795,0.045885,0.000707,0.088063,0.090105,0.028401,0.039717,1343.021359,0.002411,0.087860,0.013528,0.024571,0.036028,0.013681,0.126275,0.013668,0.007640,0.003090,0.001935,0.027357,0.043708,0.021200,0.039387,0.002607,0.007951,0.007381,0.005507,0.016658,0.004192,0.131462,0.068590,0.025746,0.025846,0.036812,0.007714,0.141406,0.061529,0.022283,0.039126,0.098317,0.021883,0.050902,0.022513,0.023807,0.015029,0.001923,0.016913,0.049492,0.116885,0.068675,0.030750,0.018510,0.206603,0.031591,1.773476,0.301295,1.272966,1.669560,0.557946,0.306326,1.399521,0.671311,0.584026,0.138679,0.497292,0.378151,0.088215,0.167176,0.067409,0.622505,0.388504,1.697832,0.077217,0.974229,0.305403,0.482180,0.126635,0.300136,1.230118,0.458030,0.161187,0.550144,0.416746,5.387409,0.311458,0.202145,0.022140,0.495439,0.250322,1.621093,0.014058,0.149584,0.327530,1.392565,1.343593,1.090445,0.544836,0.067777,0.075749,0.136153,1.809223,0.065492,0.018209,0.134120,0.000000,7.094887,73.409559,3.103824,38.220503,-1.006393,-15.000000,467.000000,202.000000,60.775375,2214.000000
B05,Mining Of Coal And Lignite  ,0.001693,0.000128,0.000030,0.000008,0.001459,0.000000,0.000647,0.000391,0.000181,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000008,0.000000,0.000068,0.000000,0.000023,0.001956,0.000015,0.000000,0.000000,0.000233,0.000083,0.000008,0.000000,0.001121,0.001226,0.000023,0.000000,0.000000,0.003694,0.000000,0.000000,0.000527,0.001760,0.001467,0.000000,0.000165,0.000015,0.000120,0.000038,0.000000,0.002227,0.029752,0.007041,0.001595,0.002061,0.002633,0.000000,0.950636,0.001181,0.019258,0.011976,0.000083,0.000496,0.000000,0.000000,0.003054,0.000233,0.000354,0.000193,0.000045,0.000085,0.000030,0.000068,0.001023,0.000158,0.000256,0.010720,0.005281,0.001174,0.002219,0.084841,0.084991,0.000023,0.000008,0.011389,0.005755,0.000000,0.000000,0.002024,0.000008,0.000354,0.000165,0.000293,0.000000,0.003242,0.001301,0.049853,0.004912,0.008553,0.003175,0.000301,0.000557,0.000000,0.000850,0.000038,0.000000,0.000444,0.000000,0.000000,87.017257,0.000000,1.589757,-80.968134,0.000000,30.000000,61.000000,0.027127,100.000000
B06 & B07,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,10.983799,0.282176,1.153432,0.068504,768.389619,10.426242,4.964881,9.653457,4.023175,0.649868,4.796865,1.606333,4.361889,5.826174,1.766802,6.226448,2.278461,2.483352,0.433560,0.239554,3.235431,4.114369,1.710163,1998.027945,1.581359,2.185424,1.196451,1.411021,1.973590,0.344985,10.803500,5.765102,8.372201,1.393980,38.765034,2.132054,22.185105,5.333912,6.003348,22.850957,11.705208,0.789031,11.392496,2.266947,1.560482,4.035470,0.065424,0.381883,4.558850,5841.216760,8.969564,5.104924,0.183871,14.489332,0.820804,224.442045,7.669986,69.942980,44.648456,1.994782,42.490829,8.937227,1.552178,10.699449,3.950226,2.420589,4.635740,1.081421,2.049406,2.015421,7.534150,1.298491,5.258108,0.437023,37.195107,5.593671,9.010836,1.080346,59.023540,48.399950,2.916395,0.423830,3.730616,253.305905,5.918988,1.951391,5.072336,0.214839,5.268968,3.282820,2.653506,0.218749,3.884899,4.060707,36.700266,17.081416,74.102515,9.438544,2.418892,0.336796,0.254401,9.580343,1.232308,1.416411,1.081406,0.000000,0.020423,213.379379,0.992553,322.124576,920.987540,0.000000,21537.775672,5713.470482,361.798602,39008.000000
B08,Other Mining And Quarrying  ,13.508722,0.301238,0.159468,0.043363,1.815280,366.426920,0.929620,3.877840,2.999715,0.305789,1.840581,1.108688,2.517881,14.021276,1.681414,21.633912,11.775951,1.088356,0.377174,0.188463,6.911069,3.485573,1.465860,1.173403,6.829637,0.865045,0.878273,1.046157,1.260455,0.413567,4.192067,6.649130,190.078188,385.969106,11.401243,0.620952,275.241815,1.988453,2.240260,6.009256,21.136267,3.224029,2.410139,0.386117,1.178986,59.018598,0.084949,0.421215,1.671164,11.990667,0.799040,2.151632,0.613117,7.315057,0.363532,4445.390149,6.228169,58.992976,32.160805,5.600213,33.856017,1.948593,4.263428,12.851397,3.912242,4.170463,7.211136,1.682206,3.187957,1.982507,4.776249,2.419609,9.385112,0.829225,7.864969,2.737615,3.428458,0.881712,40.962721,14.959924,2.094877,1.483464,4.073680,13.051235,7.071735,3.436511,7.966506,0.290796,6.777229,2.147495,1.339670,0.342983,286.756710,6.710025,30.397555,34.529352,32.628124,7.105329,3.977396,2.981930,0.514114,5.815067,3.306053,0.469216,5.009766,0.000000,0.015636,237.000668,1.385635,67.563507,-93.371657,0.000000,313.991795,228.176136,120.191941,7525.000000
B09,Mining Support Service Activities  ,5.577206,0.262460,0.107448,0.057317,2103.427765,385.277634,193.474127,4.557621,3.650846,0.389637,1.875939,1.219846,3.085011,4.461822,1.953871,3.806101,2.206384,1.269799,0.375909,0.221166,2.710414,3.761448,1.526949,1.718230,1.538699,0.952417,0.951621,1.308762,1.349557,0.343198,3.675536,4.844732,5.067044,0.854595,1.892366,0.719504,5.438947,2.273579,2.543741,6.992471,5.246317,0.317460,3.048913,0.586985,1.282994,2.482161,0.063520,0.406025,1.703221,3.906825,0.614167,0.827685,0.064552,4.534494,0.252412,33.403665,6.996150,66.780907,41.301879,2.084464,48.026387,0.945471,1.184513,10.545677,4.546692,1.504140,3.637162,0.848473,1.607946,1.982836,5.432649,1.755411,9.315030,0.902134,11.069742,3.501006,2.594285,0.681755,6.646591,2.907846,1.783188,1.303833,3.278025,31.537314,4.815077,4.193252,11.303468,0.202127,5.021173,2.183891,1.323664,0.287521,1.580155,7.319681,12.577236,13.518250,27.710211,8.519312,1.503067,0.266041,0.384123,2.355391,1.197492,0.420052,1.246766,0.000000,0.023678,145.091116,0.728589,52.412058,-14.510252,0.000000,12.573082,14.952848,1801.636308,5222.000000
C101,Processing and preserving of meat and production of meat products,57.650571,1.078133,8.508324,0.004015,8.340009,3.318681,2.238352,4848.692217,20.286183,37.188503,24.897341,58.394444,163.181329,1050.865185,182.612119,58.093959,23.734676,0.549811,0.186495,1.933823,5.886304,7.377288,3.947072,8.906719,2.131274,2.272565,0.310311,1.157285,7.164252,1.029068,10.298246,9.711250,4.436695,2.194821,0.750206,4.037740,4.979095,71.331932,64.342995,165.045582,47.168810,2.195043,4.755775,0.101628,8.141006,0.748831,0.035638,0.067282,0.491320,32.361917,14.856208,4.920135,0.044544,4.099567,0.074786,20.279645,155.113488,600.536327,188.228998,5.740000,273.975792,20.645668,6.575592,258.127404,24.460028,737.701667,2202.714218,513.846873,973.793725,20.803007,33.704623,16.432153,100.632840,12.022040,21.314635,4.660116,4.537508,0.635553,0.838955,40.099044,2.563251,1.786514,1.845417,5.199818,12.284691,17.143461,18.377868,3.046978,1.027947,17.824241,17.988688,3.915533,25.249307,21.445881,95.484078,427.777568,330.957147,376.419031,11.660010,3.295721,21.300022,46.574547,16.370460,25.419788,21.299766,0.000000,0.000383,8688.195581,3.256601,88.792619,-336.707162,0.000000,1544.183425,604.388043,416.085522,25821.000000
C102_3,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",9.776948,0.287974,0.205994,0.022620,4.610506,6.024738,2.293538,55.340834,438.673626,0.537060,47.049486,98.444215,282.289346,660.823723,27.069497,64.693039,486.220648,2.755039,0.332904,0.136078,4.289811,6.789505,2.991165,4.505080,2.472091,2.359484,0.722610,0.740892,2.967753,0.241789,5.858112,8.037671,4.051637,0.580023,1.552492,2.286526,4.854839,40.978082,37.711861,94.457580,29.736440,2.066073,3.718629,0.245070,5.398745,3.241869,0.065694,0.211572,1.016909,20.459406,9.326583,2.930546,0.052553,6.002409,0.135558,27.346162,90.330628,32.622927,124.098906,17.869813,215.780570,9.049701,4.181390,215.656111,14.508394,592.461868,789.318002,184.131279,348.948089,53.535243,27.091450,9.714205,62.958552,7.725067,57.337430,7.435719,5.310324,0.641575,1.697237,34.318241,2.706451,1.910476,2.379586,8.408274,3.481782,9.659884,12.755568,0.322762,2.553242,12.346949,8.310998,1.945720,17.280288,209.285545,48.195752,292.708666,160.518534,207.501810,7.078325,0.438158,15.605877,96.736950,10.306366,17.205547,10.314795,0.000000,0.008999,3463.486514,1.508979,30.136344,-316.206860,0.000000,719.360773,421.408207,210.624989,11125.000000
C104,Manufacture of vegetable and animal oils and fats,0.482176,0.026035,0.022300,0.002927,0.600693,0.216199,0.053624,24.300458,43.790033,0.068677,6.567519,61.014883,148.628167,68.073996,0.448991,0.472720,1.203911,0.474251,0.033077,0.075727,0.748101,1.075616,0.726986,0.665831,0.339155,0.198269,0.676294,0.354791,3.017199,0.231749,7.020193,3.843720,0.690632,0.179847,1.121063,0.067821,0.595514,2.431121,1.523457,5.363137,2.991207,0.072179,0.260768,0.023294,0.187217,0.348949,0.009413,0.015894,0.088412,1.291411,0.086926,0.108955,0.020312,0.184211,0.009928,1.912006,5.070136,2.481682,7.184900,0.117556,12.784164,0.108973,0.113888,10.568171,1.641366,43.439994,159.874550,37.295368,70.678635,2.311685,1.313708,0.661557,3.954372,0.080206,7.804612,0.115427,0.280853,0.040668,0.113792,14.393860,0.110044,0.059597,0.157664,1.586804,0.847708,0.128227,1.586823,0.528603,0.125459,1.110192,0.575952,0.023775,1.341263,46.646909,2.417634,19.152209,18.140222,36.478139,1.074247,0.032228,1.565194,9.842226,0.650118,1.561601,0.704928,0.000000,8.303449,85.363441,0.036317,3.011485,2.714772,0.000000,177.054487,61.467990,23.132229,1285.000000
